city,country,temperature_2m,relative_humidity_2m,apparent_temperature,weather_code,wind_speed_10m,pressure_msl,condition
London,United Kingdom,32.9,15.0,29.0,0,21.6,1016.5,Clear sky
New York,United States,20.4,94.0,21.6,55,16.2,1017.7,Dense drizzle
Tokyo,Japan,19.5,91.0,22.0,3,2.2,1014.1,Overcast
Sydney,Australia,11.8,94.0,10.1,51,13.6,1033.7,Light drizzle
Dubai,United Arab Emirates,35.2,50.0,38.4,0,16.4,997.4,Clear sky
Paris,France,34.1,18.0,32.4,1,12.3,1019.0,Mainly clear
Mumbai,India,26.9,88.0,29.1,95,29.9,1000.1,Thunderstorm
Cape Town,South Africa,15.7,95.0,16.9,1,3.5,1022.7,Mainly clear
São Paulo,Brazil,20.7,60.0,22.1,0,1.5,1020.1,Clear sky
Toronto,Canada,25.4,51.0,25.8,1,14.2,1016.7,Mainly clear
